State,VarroaMites_Percent,Other_Pests_Parasites_Percent,Diseases_Percent,Pesticides_Percent,Other_Percent,Unknown_Percent
Alabama,3.1,6.4,0.2,0.2,2.8,1.9
Arizona,50.1,1.7,1.1,3.5,0.5,15.5
Arkansas,38.1,9.7,0.1,8.2,8.5,0.6
California,37.3,12.7,6.2,11.7,10.5,7.3
Colorado,47.6,24.4,21.2,19.7,8.4,1.8
Connecticut,10.5,1.7,0.5,1.1,3.4,2
Florida,27.3,18.4,2.5,6.8,3,4.2
Georgia,43.5,13.9,5.3,4.5,3.7,1.3
Hawaii,31,33.9,0.2,,,
Idaho,38.9,0.6,4.3,4,2.8,4.5
Illinois,9.4,2.5,0.3,0.9,1,3.1
Indiana,15.1,0.5,6.3,0.1,0.6,3.7
Iowa,53.4,0.9,0.6,6.4,24.8,1.4
Kansas,44.5,24.8,0.2,25.1,33.9,19
Kentucky,22.2,14.8,0.4,9.8,7.2,1.7
Louisiana,10.9,1,,0.6,2.4,0.2
Maine,18,0.2,,,0.1,0.4
Maryland,5.6,2,0.1,,0.2,4.3
Massachusetts,31.4,1.6,6.2,1.9,2.6,1.1
Michigan,30.2,4.1,,4.1,3.2,3.7
Minnesota,43.6,8.7,8.4,25,3.8,8.9
Mississippi,10.6,2.5,0.3,,0.7,1.3
Missouri,2.8,6,3.3,0.1,0.8,1.5
Montana,35.5,19.8,14.4,11.4,3.2,13.9
Nebraska,15.5,,0.2,0.3,0.4,1.7
New Jersey,7.7,2.2,,0.4,0.4,1.2
New Mexico,30.9,0.3,0.2,8.4,0.6,1.7
New York,24.5,2.2,0.8,0.9,0.4,6.2
North Carolina,9.6,3.4,0.5,0.4,5.4,3.4
North Dakota,10.8,2.3,1.8,1.5,3.7,2.1
Ohio,36.3,8.8,2,7.3,14.5,2.1
Oklahoma,2.8,4.5,0.1,0.1,1.3,2.5
Oregon,16.4,1.3,1.5,1.5,1.7,1.5
Pennsylvania,32.2,4.3,1,0.3,0.8,1
South Carolina,14.2,2.9,0.4,1.7,5.8,
South Dakota,16.8,3,1.9,7.1,2.4,4.1
Tennessee,43.6,28.3,,4.6,7.1,3.6
Texas,20.9,8.7,2.7,5.4,2.2,8
Utah,75.8,9.1,6.4,0.2,4.4,0.4
Vermont,57.1,16.8,0.9,0.6,0.4,15.6
Virginia,26.3,17.2,0.4,,5.8,10.4
Washington,6.9,0.1,0.1,0.3,3,1.5
West Virginia,18.8,4.5,1.3,3,8.2,0.6
Wisconsin,49.4,15.6,2.5,21.9,6.6,21.4
Wyoming,45,3.3,6.6,10.5,11.3,3.9
Other States 4/,8.2,,,,,8
United States,37,11.4,5.2,9.5,7.3,6.9
