State,Colony_Number,Max_Colony_Number,Lost_Colony_Number,Percent_Lost,Added_Colony_Number,Renovated_Colony_Number,Percent_Renovated
Alabama,7000,9500,900,9,690,530,6
Arizona,26000,26000,4100,16,5000,3200,12
Arkansas,29000,29000,6000,21,4400,410,1
California,590000,670000,67000,10,73000,74000,11
Colorado,35000,42000,4300,10,2900,6410,15
Connecticut,3500,3500,130,4,50,20,1
Florida,176000,180000,39000,22,39000,42000,23
Georgia,121000,122000,15500,13,19000,23000,19
Hawaii,15000,15000,1100,7,430,20,
Idaho,89000,116000,12000,10,9000,16500,14
Illinois,13000,13000,1100,8,710,1200,9
Indiana,13000,13000,930,7,420,740,6
Iowa,40000,43000,2200,5,2100,4000,9
Kansas,7000,7000,1700,24,1400,1000,14
Kentucky,9000,9000,1600,18,450,700,8
Louisiana,64000,64000,13500,21,14500,34000,53
Maine,5500,6000,400,7,210,290,5
Maryland,8500,8500,1600,19,1300,600,7
Massachusetts,9000,9000,760,8,790,460,5
Michigan,103000,109000,17500,16,4300,11500,11
Minnesota,136000,136000,20000,15,1900,2200,2
Mississippi,24000,24000,2900,12,250,230,1
Missouri,9000,9000,580,6,320,310,3
Montana,154000,161000,18500,11,3100,23000,14
Nebraska,46000,47000,3700,8,880,13500,29
New Jersey,16000,16000,420,3,280,110,1
New Mexico,8500,8500,2500,29,1800,200,2
New York,59000,59000,6500,11,3100,9000,15
North Carolina,26000,27000,3300,12,4100,2900,11
North Dakota,470000,490000,48000,10,24000,100000,20
Ohio,23000,23000,1800,8,1100,1800,8
Oklahoma,4400,4400,510,12,80,270,6
Oregon,94000,101000,13500,13,7500,28000,28
Pennsylvania,18500,18500,1500,8,6000,1600,9
South Carolina,14500,14500,1700,12,640,440,3
South Dakota,152000,159000,16500,10,6000,7500,5
Tennessee,10000,10000,1700,17,800,960,10
Texas,104000,115000,15000,13,21000,7500,7
Utah,35000,35000,6500,19,5500,3200,9
Vermont,7500,7500,180,2,520,270,4
Virginia,11500,11500,1200,10,430,430,4
Washington,82000,92000,17000,18,5500,10500,11
West Virginia,9000,9000,930,10,440,1900,21
Wisconsin,74000,75000,12500,17,6000,9000,12
Wyoming,35000,36000,5500,15,3100,3500,10
Other States 5/,8100,10000,1070,11,380,650,7
United States,2994500,,394810,13,284370,449550,15
