State,"Honey producing colonies/1,000",Yield per colony (pounds),"Production (1,000 pounds)","Stocks December 15 (1,000 pounds)",Average price per pound (dollars),"Value of production (1,000 dollars)",Year
AL,9,49,441,66,182,803,2009
AZ,20,52,1040,562,153,1591,2009
AR,24,57,1368,301,139,1902,2009
CA,355,33,11715,2109,139,16284,2009
CO,28,53,1484,326,140,2078,2009
FL,150,68,10200,1428,138,14076,2009
GA,65,41,2665,346,147,3918,2009
HI,10,95,950,323,163,1549,2009
ID,103,46,4738,1706,145,6870,2009
IL,8,34,272,57,226,615,2009
IN,9,32,288,101,198,570,2009
IA,26,42,1092,339,151,1649,2009
KS,9,63,567,164,189,1072,2009
KY,5,35,175,25,273,478,2009
LA,37,103,3811,610,132,5031,2009
ME,6,50,300,51,186,558,2009
MI,66,60,3960,1505,151,5980,2009
MN,122,65,7930,1427,140,11102,2009
MS,14,104,1456,87,132,1922,2009
MO,11,47,517,57,198,1024,2009
MT,146,70,10220,3577,145,14819,2009
NE,48,56,2688,1102,144,3871,2009
NV,10,52,520,57,129,671,2009
NJ,9,32,288,46,193,556,2009
NM,7,60,420,143,163,685,2009
NY,47,65,3055,978,183,5591,2009
NC,11,45,495,84,252,1247,2009
ND,450,77,34650,7623,137,47471,2009
OH,11,50,550,132,275,1513,2009
OR,55,34,1870,767,149,2786,2009
PA,21,40,840,319,199,1672,2009
SD,270,66,17820,6237,139,24770,2009
TN,7,51,357,86,235,839,2009
TX,74,63,4662,886,138,6434,2009
UT,26,38,988,198,147,1452,2009
VT,5,49,245,69,236,578,2009
VA,6,39,234,56,328,768,2009
WA,62,44,2728,1064,149,4065,2009
WV,5,37,185,33,267,494,2009
WI,63,60,3780,1588,151,5708,2009
WY,37,48,1776,391,143,2540,2009
Other States ,15,51,768,127,280,2150,2009
United States,2462,58.5,144108,37153,144.5,208236,2009
